"","x"
"1137","ANKRD34A"
"1138","POLR3GL"
"1139","TXNIP"
"1140","LINC01719"
"1141","NBPF10"
"1142","NOTCH2NL"
"1143","AC239799.2"
"1144","AC245407.2"
"1145","NBPF12"
"1146","PRKAB2"
"1147","AC242426.2"
"1148","FMO5"
"1149","CHD1L"
"1150","LINC00624"
"1151","BCL9"
"1152","ACP6"
"1153","GJA5"
"1154","GPR89B"
"1155","AC239803.2"
"1156","AC239803.3"
"1157","NBPF11"
"1158","AC239809.3"
"1159","AC239803.1"
"1160","AC245100.7"
"1161","PPIAL4G"
"1162","NBPF14"
"1163","NUDT4B"
"1164","PDE4DIP"
"1165","AC239804.1"
"1166","NBPF9"
"1167","AC245297.3"
"1168","AC245297.2"
"1169","NBPF19"
"1170","FCGR1A"
"1171","HIST2H2BF"
"1172","AC243772.2"
"1173","HIST2H3D"
"1174","HIST2H4A"
"1175","AC239868.3"
"1176","HIST2H2AA4"
"1177","HIST2H4B"
"1178","AC239868.2"
"1179","HIST2H2BE"
"1180","HIST2H2AC"
"1181","HIST2H2AB"
"1182","BOLA1"
"1183","SV2A"
"1184","SF3B4"
"1185","MTMR11"
"1186","OTUD7B"
"1187","VPS45"
"1188","PLEKHO1"
"1189","ANP32E"
"1190","AC242988.1"
"1191","CA14"
"1192","APH1A"
"1193","C1orf54"
"1194","CIART"
"1195","MRPS21"
"1196","PRPF3"
"1197","RPRD2"
"1198","TARS2"
"1199","ECM1"
"1200","FALEC"
"1201","ADAMTSL4"
"1202","MCL1"
"1203","ENSA"
"1204","GOLPH3L"
"1205","CTSS"
"1206","CTSK"
"1207","ARNT"
"1208","SETDB1"
"1209","CERS2"
"1210","AL590133.1"
"1211","MINDY1"
"1212","PRUNE1"
"1213","BNIPL"
"1214","C1orf56"
"1215","CDC42SE1"
"1216","MLLT11"
"1217","GABPB2"
"1218","SEMA6C"
"1219","TNFAIP8L2"
"1220","SCNM1"
"1221","LYSMD1"
"1222","TMOD4"
"1223","VPS72"
"1224","PIP5K1A"
"1225","PSMD4"
